wort,subset,mean_eva,sd_eva,cases_eva,mean_pot,sd_pot,cases_pot,mean_act,sd_act,cases_act
betucht,12,5.551,1.695,216,5.701,1.732,211,5.072,1.599,209
Café,12,6.409,1.507,215,5.243,1.258,210,5.675,1.847,209
Christ,12,5.247,1.816,215,4.976,1.779,211,4.502,1.865,211
dienen,12,3.986,1.688,216,4.176,1.786,210,4.357,1.632,213
Ehrgeiz,12,5.93,1.65,214,6.366,1.598,213,6.51,1.439,210
Freund,12,7.556,1.334,214,6.529,1.678,210,6.278,1.778,209
Führer,12,3.178,1.855,214,5.774,2.538,212,5.64,1.93,211
Gerechtigkeit,12,7.304,1.573,214,6.638,1.962,210,5.952,1.799,209
Gewerkschaft,12,4.897,1.734,213,5.237,1.998,211,5.057,1.854,209
jmd. auszeichnen,12,6.519,1.349,214,6.062,1.448,210,5.79,1.638,210
kraftvoll,12,6.659,1.311,214,6.88,1.448,209,6.627,1.43,212
Kranker,12,3.935,1.509,215,3.486,2.069,212,4.038,2.021,212
Krise,12,2.935,1.567,214,5.476,2.195,212,5.976,2.025,209
Kritik,12,4.418,1.569,213,5.91,1.62,211,5.972,1.473,211
Landsmann,12,5.784,1.381,213,5.265,1.252,211,5.194,1.274,211
Mitläufer,12,3.162,1.493,216,3.514,1.864,210,4.429,1.963,210
Moral,12,6.093,1.592,214,6.237,1.786,211,5.299,1.662,211
Nachbar,12,5.664,1.513,214,5.094,1.22,212,5.204,1.31,211
Nachhilfe,12,4.851,1.465,215,4.84,1.515,212,4.849,1.365,212
Neid,12,2.736,1.534,216,4.408,2.431,211,5.319,1.988,210
Organisation,12,5.346,1.283,214,5.872,1.492,211,5.429,1.427,210
Parlament,12,4.507,1.565,213,5.4,2.078,210,4.643,2,210
Pfarrer,12,4.819,1.839,215,4.828,1.863,209,3.995,1.761,211
Privileg,12,5.736,1.687,216,6.033,1.623,213,5.462,1.387,210
Professor,12,5.712,1.367,215,5.976,1.774,211,4.891,1.58,211
Schulfreund,12,6.458,1.336,216,5.632,1.402,209,5.705,1.477,210
sich bereichern,12,3.477,1.87,216,4.83,2.188,212,5.786,1.727,210
spielen,12,6.995,1.327,215,5.605,1.377,210,6.752,1.588,210
Trauerfeier,12,3.028,1.678,214,4.69,1.908,210,3.667,2.289,210
Treue,12,7.593,1.546,216,7.162,1.692,210,5.752,2.011,210
türkisch,12,4.498,1.646,215,4.766,1.509,209,5.33,1.825,212
überwachen,12,3.28,1.672,214,5.611,2.091,211,5.286,1.89,210
Urteil,12,4.651,1.351,215,6.297,1.756,209,5.59,1.673,210
Verbrecher,12,2.178,1.609,214,4.629,2.548,210,6.014,2.287,210
Verräter,12,2.084,1.418,214,4.038,2.607,211,5.829,2.218,210
versagen,12,2.662,1.397,213,3.789,2.212,213,4.673,2.071,211
weiblich,12,6.93,1.485,214,5.861,1.631,209,6.257,1.728,210
weise,12,6.738,1.641,214,6.431,1.609,211,4.667,1.928,210
Wettbewerb,12,5.565,1.477,214,5.909,1.571,209,6.59,1.442,210
Wissenschaftler,12,5.953,1.4,215,5.919,1.47,210,5.251,1.624,211
wohlhabend,12,6.547,1.537,214,6.267,1.527,210,5.519,1.701,210
Absage,13,3.013,1.595,227,4.537,2.092,205,4.938,1.969,210
Armee,13,4.04,2.117,227,6.377,2.23,207,6.201,1.961,209
aufopfern,13,4.899,1.854,227,5.454,2.002,207,5.29,1.585,210
bedürftig,13,3.656,1.741,227,3.976,1.88,205,4.429,1.679,210
berühren,13,6.934,1.529,227,6.073,1.615,205,6.322,1.826,211
besiegen,13,5.784,1.854,227,6.663,1.746,205,6.586,1.539,210
Betrüger,13,2.159,1.555,227,4.444,2.457,207,5.621,2.07,211
Chirurg,13,5.261,1.801,226,6.265,1.646,204,5.381,1.896,210
christlich,13,5.19,1.875,226,5.059,1.809,205,4.094,1.903,212
demütig,13,3.987,1.861,227,3.99,2.037,204,3.904,1.696,209
einsperren,13,2.207,1.426,227,4.912,2.448,205,5.267,2.268,210
eiskalt,13,3.308,1.917,227,5.456,2.19,206,4.741,2.001,212
Elite,13,5.292,1.853,226,6.345,1.743,206,5.462,1.761,210
Experte,13,6.062,1.559,227,6.377,1.587,207,5.528,1.487,212
extrovertiert,13,4.712,1.687,226,5.333,1.718,204,6.01,1.871,210
Fest,13,6.802,1.386,227,5.908,1.374,206,6.824,1.541,210
flirten,13,7.11,1.485,227,6.082,1.564,207,6.905,1.651,211
Führungsfigur,13,5.216,1.812,227,6.58,1.849,207,6.005,1.642,209
Gastgeber,13,6.555,1.37,227,5.716,1.239,204,5.838,1.432,210
Gatte,13,6.067,1.955,225,5.576,1.657,205,5.429,1.73,210
Haushalt,13,5.442,1.616,226,5.515,1.357,206,5.19,1.56,210
heucheln,13,2.46,1.567,226,3.922,2.159,205,4.962,2.083,212
Kamerad,13,6.842,1.613,228,6.358,1.574,204,5.771,1.466,210
kraft,13,6.771,1.402,227,6.741,1.542,205,6.41,1.535,212
mitreden,13,6.637,1.389,226,5.951,1.424,206,6.259,1.308,212
mutlos,13,3.14,1.498,228,3.392,1.729,204,3.41,1.813,212
Mutprobe,13,4.291,1.66,227,5.488,1.952,205,6.598,1.798,209
naiv,13,3.762,1.513,227,3.732,1.684,205,4.009,1.603,212
Oberschicht,13,4.388,1.772,227,5.824,1.849,204,5.009,1.839,211
Party,13,6.584,1.729,226,5.662,1.434,204,7.132,1.728,212
Professorin,13,5.665,1.541,227,6.13,1.566,207,4.99,1.624,208
Punker,13,4.004,1.829,226,4.456,1.977,206,6.014,2.02,209
Realschule,13,5.496,1.5,226,5.435,1.398,207,5.402,1.432,209
romantisch,13,7.31,1.47,226,5.912,1.687,205,5.49,2.203,210
selbstlos,13,5.731,1.72,227,5.553,1.844,206,4.892,1.58,212
sich auszeichnen,13,6.463,1.503,227,6.332,1.392,205,6.109,1.471,211
sich wehren,13,5.78,1.857,227,6.435,1.758,207,6.764,1.709,212
Snob,13,3.101,1.497,228,4.329,1.892,207,4.833,1.831,209
Stabilität,13,6.849,1.51,225,6.294,1.622,204,4.833,1.812,209
Stadion,13,5.515,1.815,227,5.507,1.5,207,6.749,1.799,211
täuschen,13,2.956,1.568,227,4.517,2.04,205,5.163,1.708,209
Tante,13,5.74,1.607,227,5.113,1.332,204,4.986,1.56,211
treu,13,7.681,1.413,226,6.709,1.77,206,5.486,2.015,210
Türsteher,13,4.035,1.632,227,5.77,1.925,204,5.462,1.807,210
undankbar,13,2.678,1.645,227,4.029,1.948,205,4.938,1.935,210
verreisen,13,7.233,1.595,227,5.858,1.513,204,6.754,1.703,211
Vorbild,13,6.736,1.43,227,6.476,1.529,206,5.741,1.544,212
Weisheit,13,7.285,1.467,228,6.778,1.718,207,5.148,2.031,209
westdeutsch,13,5.645,1.716,228,5.463,1.423,205,5.332,1.458,208
zwingen,13,2.656,1.59,227,5.175,2.391,206,5.796,1.89,211
Amt,14,3.891,1.724,211,5.557,2.034,219,4.065,2.081,216
Anführer,14,4.237,1.797,211,6.709,1.761,220,6.107,1.783,215
aufrichtig,14,7.409,1.507,208,6.685,1.636,219,5.498,1.705,215
Ausländer,14,4.805,1.679,210,4.959,1.581,219,5.386,1.656,215
behindern,14,3.498,1.494,211,4.489,1.754,219,4.758,1.75,215
beschützen,14,7.246,1.389,211,6.431,1.709,218,5.724,1.814,214
beschuldigen,14,2.925,1.497,212,5.05,1.97,218,5.72,1.832,214
Bibel,14,4.714,2.039,210,4.798,2.242,218,3.963,1.965,217
Detektiv,14,4.6,1.445,210,5.399,1.447,218,5.395,1.687,215
Diktator,14,2.197,1.661,208,6.477,2.605,218,6.386,2.126,215
Dorf,14,5.929,1.835,210,4.885,1.589,218,4.208,1.842,216
einhellig,14,5.422,1.214,211,5.227,1.258,220,5.014,1.313,215
einzeln,14,4.885,1.258,209,4.419,1.574,217,4.637,1.427,215
erziehen,14,6.033,1.65,210,6.422,1.396,218,6.121,1.628,214
Gast,14,6.212,1.507,212,5.353,1.361,218,5.528,1.391,216
gleichberechtigt,14,6.777,1.601,211,5.908,1.584,218,5.59,1.585,217
herrschen,14,3.656,1.87,212,6.528,1.995,216,5.949,1.699,216
hochqualifiziert,14,6.61,1.68,210,6.945,1.519,220,6.093,1.767,215
höflich,14,7.243,1.425,210,6.073,1.636,218,5.093,1.723,214
Individuum,14,5.769,1.517,212,5.683,1.686,218,5.636,1.482,217
Karriere,14,6.204,1.668,211,6.376,1.508,218,6.279,1.637,215
Kirche,14,4.483,2.012,209,5.005,2.293,218,3.953,2.086,215
Koch,14,6.048,1.386,209,5.335,1.264,218,5.282,1.381,216
Kollegin,14,6.071,1.39,211,5.303,1.252,218,5.505,1.46,216
Liebster,14,7.308,1.85,211,6.365,1.762,219,6.247,2.019,215
Meister,14,5.919,1.565,210,6.306,1.578,219,5.714,1.447,217
mittellos,14,2.657,1.679,210,3.402,2.073,219,4.605,2.17,215
Moralist,14,4,1.708,210,4.871,1.555,217,4.778,1.681,216
neidisch,14,3.075,1.556,212,4.087,1.919,218,5.392,1.848,217
opfern,14,4.28,1.697,211,4.908,1.972,218,5.472,1.665,216
Ordnung,14,6.45,1.727,211,6.303,1.56,218,4.986,1.9,214
Patriot,14,5.175,1.712,212,5.767,1.658,219,5.767,1.667,215
Pflicht,14,5.177,1.653,209,6.206,1.496,218,5.228,1.685,215
Schädling,14,2.667,1.485,210,5.183,2.073,219,5.743,1.835,214
schlagfertig,14,6.75,1.492,212,6.633,1.268,218,6.453,1.573,214
schuldig,14,2.905,1.621,211,4.626,2.058,219,5.344,1.727,215
Schwiegermutter,14,5,1.683,212,5.303,1.629,218,5.381,1.791,215
Sieg,14,6.886,1.675,211,6.936,1.614,218,6.836,1.763,213
Sitte,14,5.348,1.639,210,5.532,1.503,218,4.755,1.528,216
solidarisieren,14,6.085,1.445,211,5.854,1.666,219,5.546,1.515,216
stolz,14,6.495,1.667,210,6.479,1.428,219,5.804,1.607,214
tanzen,14,6.269,1.912,212,5.373,1.547,217,6.472,1.917,216
teilen,14,6.493,1.459,211,5.843,1.507,217,5.491,1.463,216
Theater,14,5.9,1.551,211,5.295,1.286,217,5.395,1.808,215
Tyrann,14,2.114,1.647,210,5.913,2.756,219,6.447,2.193,215
unfähig,14,3,1.645,211,3.443,1.97,219,4.397,1.999,214
ungerecht,14,2.78,1.819,209,4.648,2.209,219,5.902,1.927,215
verraten,14,2.569,1.518,211,4.11,2.353,218,5.884,1.907,216
Wohlstand,14,7.119,1.64,210,6.741,1.544,220,5.532,2.021,216
Zwang,14,2.605,1.425,210,5.509,2.317,218,5.565,1.94,216
ablehnen,15,3.723,1.471,213,4.816,1.653,228,4.991,1.457,230
Anhänger,15,5.184,1.39,212,5.198,1.485,227,5.45,1.473,229
autoritär,15,3.802,1.689,212,6.035,2.075,228,5.835,1.674,230
beaufsichtigen,15,4.925,1.458,213,5.714,1.396,227,5.482,1.558,228
Befreiung,15,6.925,1.544,212,6.561,1.612,228,6.589,1.681,231
begrüßen,15,6.743,1.382,214,5.86,1.404,228,5.861,1.229,231
bescheiden,15,6.25,1.46,212,5.176,1.601,227,4.572,1.668,229
bestrafen,15,3.235,1.64,213,5.48,2.038,229,5.844,1.618,231
betrügen,15,2.451,1.587,215,4.262,2.383,229,5.838,2.104,229
charmant,15,7.079,1.31,214,6.079,1.541,227,5.812,1.593,229
despotisch,15,3.502,1.706,213,5.123,2.012,228,5.555,1.62,229
eigensinnig,15,4.23,1.56,213,5.087,1.676,229,5.719,1.49,231
Einzelkind,15,4.995,1.497,213,5.135,1.425,229,5.362,1.682,229
entscheiden,15,5.878,1.442,213,6.39,1.334,228,5.896,1.45,230
FDP (Partei),15,3.277,1.867,213,3.313,1.956,227,3.709,1.944,230
Frauenheld,15,3.761,1.867,213,4.31,1.909,229,5.853,1.97,231
Fußballer,15,5.094,1.746,213,5.288,1.567,226,5.974,1.91,229
Gebet,15,5.127,1.981,213,5.249,2.072,229,3.883,2.03,230
Geld,15,6.476,1.794,212,6.952,1.752,228,6.043,1.705,230
Geliebte,15,5.387,2.312,212,5.368,2.049,228,6.445,2.018,229
helfen,15,7.227,1.282,211,6.793,1.495,227,6.118,1.678,229
Herrschaft,15,3.93,1.733,214,6.45,2.065,229,5.791,1.7,230
Hure,15,4.108,2.045,213,4.735,1.98,226,5.857,1.916,230
integrieren,15,5.953,1.727,212,5.636,1.549,228,5.583,1.518,230
klauen,15,2.486,1.54,214,3.645,2.116,228,5.865,2.148,230
König,15,4.765,1.486,213,6.162,2.079,228,5.065,1.768,230
Kontrolle,15,4.486,1.838,212,6.266,1.723,229,5.519,1.549,231
kümmern,15,6.717,1.315,212,6.114,1.64,229,5.7,1.472,230
Lehrerin,15,5.38,1.454,213,5.747,1.366,229,5.262,1.487,229
motivieren,15,6.869,1.271,213,6.539,1.449,228,6.457,1.375,230
Nazi,15,2.056,1.824,213,3.828,2.743,227,5.812,2.51,229
Onkel,15,5.708,1.366,212,5.323,1.264,229,5.052,1.288,232
Pflegefall,15,3.019,1.79,212,3.855,2.296,228,4.702,2.173,228
politisch,15,4.851,1.509,215,5.254,1.627,228,5.223,1.659,229
Prolet,15,3.425,1.761,214,3.974,1.949,229,5.424,1.887,229
prominent,15,4.991,1.518,211,5.311,1.58,228,5.511,1.703,229
Rangordnung,15,4.349,1.474,212,5.755,1.732,229,5.354,1.464,229
respektlos,15,2.746,1.545,213,3.965,2.126,228,5.704,1.971,230
scheitern,15,2.962,1.723,211,4.166,2.043,229,5.178,1.831,230
schlapp,15,3.43,1.441,214,3.295,1.584,227,3.1,1.801,230
Schützenverein,15,4.225,1.639,213,4.64,1.656,228,4.939,1.905,230
Sekte,15,2.117,1.466,214,4.617,2.715,227,5.266,2.27,229
Solidarität,15,6.761,1.509,213,6.304,1.693,227,5.73,1.491,230
Team,15,6.61,1.49,213,6.605,1.557,228,6.274,1.36,230
Techniker,15,5.514,1.222,212,5.451,1.258,226,5.096,1.239,229
tolerant,15,7.117,1.437,213,6.33,1.574,227,5.742,1.603,229
Verein,15,5.472,1.541,212,5.559,1.571,227,5.587,1.743,230
verlassen,15,3.193,1.583,212,4.399,2.079,228,5.297,1.915,229
wehrlos,15,3.033,1.857,213,3.294,2.069,228,4.55,2.099,229
